| time |  in  |reset|load | inc |  out   |
| 0+   |    0 |  0  |  0  |  0  |      0 |
| 1    |    0 |  0  |  0  |  0  |      0 |
| 1+   |    0 |  0  |  0  |  1  |      0 |
| 2    |    0 |  0  |  0  |  1  |      1 |
| 2+   | -125 |  0  |  0  |  1  |      1 |
| 3    | -125 |  0  |  0  |  1  |      2 |
| 3+   | -125 |  0  |  1  |  1  |      2 |
| 4    | -125 |  0  |  1  |  1  |    131 |
| 4+   | -125 |  0  |  0  |  1  |    131 |
| 5    | -125 |  0  |  0  |  1  |    132 |
| 5+   | -125 |  0  |  0  |  1  |    132 |
| 6    | -125 |  0  |  0  |  1  |    133 |
| 6+   |   75 |  0  |  1  |  0  |    133 |
| 7    |   75 |  0  |  1  |  0  |     75 |
